"indiv_id","weight_kg","X","duration","n.notes","low.freq","high.freq","note.rate","bandwidth.mean","bandwidth.sd","firstnotehighfreq","lasttnotehighfreq","sex","name"
"rocket",1.214,291,6.058878885,12,3169,4617.8,1.98056442912376,344.533333333333,97.1741953525947,4301.8,3681,"M","rocket"
"rocket",1.214,290,5.30478174,11,3054.7,4318.7,2.07360086411397,415.018181818182,51.9609626196786,3967.6,4213.4,"M","rocket"
"rocket",1.214,286,3.739949585,9,2879.1,4915.6,2.40644955111073,392.388888888889,130.012878635584,3721.8,4213.4,"M","rocket"
"savannah",0.88,231,2.192154466,5,5058.6,7033.6,2.28086116993546,516.8,86.1,6098.1,7033.6,"F","savannah"
"savannah",0.88,230,2.601817751,6,4989.3,6652.5,2.30608004641905,459.35,186.080582006828,6444.6,6652.5,"F","savannah"
"savannah",0.88,227,1.109139468,3,4781.5,5855.6,2.70479960956542,401.966666666667,49.7675932041457,5647.7,5855.6,"F","savannah"
"savannah",0.88,228,1.601986109,4,4781.5,5959.5,2.49690055208837,344.5,0,5924.8,5959.5,"F","savannah"
"savannah",0.88,229,2.576392305,6,5024,6617.8,2.32883788247458,445.033333333333,64.8447273621122,6444.6,6617.8,"F","savannah"
"savannah",0.88,226,1.966683807,3,4435,5855.6,1.52541043421526,459.4,49.7098581772268,5509.1,5855.6,"F","savannah"
"snoopy",1.518,214,3.084435845,8,3334,5336.5,2.5936671735184,398.3625,243.344118115537,4229.7,5336.5,"M","snoopy"
"snoopy",1.518,218,2.971849537,7,2949.4,5898.7,2.35543553361262,418.357142857143,104.659270287647,3792,5828.5,"M","snoopy"
"snoopy",1.518,216,2.466642673,6,3440.9,5688.1,2.4324560933273,459.366666666667,253.571178698737,4704.9,5688.1,"M","snoopy"
"snoopy",1.518,217,3.921620023,9,3300.5,6109.4,2.29496992243402,535.944444444444,246.581908861493,4704.9,6109.4,"M","snoopy"
